CVE ID,Severity,Exploited,Patch Available,GitHub PoC?
CVE-2024-0001,CRITICAL,,False,❌
CVE-2024-0002,CRITICAL,,False,❌
CVE-2024-0003,HIGH,,False,❌
CVE-2024-0004,HIGH,,False,❌
CVE-2024-0005,HIGH,,False,❌
CVE-2024-0006,,,False,❌
CVE-2024-0007,MEDIUM,,False,❌
CVE-2024-0008,HIGH,,False,❌
CVE-2024-0009,MEDIUM,,False,❌
CVE-2024-0010,MEDIUM,,False,❌
CVE-2024-0011,MEDIUM,,False,❌
CVE-2024-0012,CRITICAL,True,False,❌
CVE-2024-0014,HIGH,,False,❌
CVE-2024-0015,HIGH,,False,❌
CVE-2024-0016,MEDIUM,,False,❌
CVE-2024-0017,MEDIUM,,False,❌
CVE-2024-0018,HIGH,,False,❌
CVE-2024-0019,MEDIUM,,False,❌
CVE-2024-0020,MEDIUM,,False,❌
CVE-2024-0021,HIGH,,False,❌
CVE-2024-0022,MEDIUM,,False,❌
CVE-2024-0023,HIGH,,False,❌
CVE-2024-0024,HIGH,,False,❌
CVE-2024-0025,HIGH,,False,❌
CVE-2024-0026,MEDIUM,,False,❌
CVE-2024-0027,MEDIUM,,False,❌
CVE-2024-0029,HIGH,,False,❌
CVE-2024-0030,MEDIUM,,False,❌
CVE-2024-0031,CRITICAL,,False,❌
CVE-2024-0032,MEDIUM,,False,❌
CVE-2024-0033,HIGH,,False,❌
CVE-2024-0034,HIGH,,False,❌
CVE-2024-0035,HIGH,,False,❌
CVE-2024-0036,HIGH,,False,❌
CVE-2024-0037,LOW,,False,❌
CVE-2024-0038,HIGH,,False,❌
CVE-2024-0039,CRITICAL,,False,❌
CVE-2024-0040,HIGH,,False,❌
CVE-2024-0041,HIGH,,False,❌
CVE-2024-0042,HIGH,,False,❌
CVE-2024-0043,HIGH,,False,❌
CVE-2024-0044,MEDIUM,,False,❌
CVE-2024-0045,MEDIUM,,False,❌
CVE-2024-0046,HIGH,,False,❌
CVE-2024-0047,MEDIUM,,False,❌
CVE-2024-0048,HIGH,,False,❌
CVE-2024-0049,HIGH,,False,❌
CVE-2024-0050,HIGH,,False,❌
CVE-2024-0051,HIGH,,False,❌
CVE-2024-0052,LOW,,False,❌
CVE-2024-0053,LOW,,False,❌
CVE-2024-0054,,,False,❌
CVE-2024-0055,,,False,❌
CVE-2024-0056,,,False,❌
CVE-2024-0057,CRITICAL,,False,❌
CVE-2024-0066,,,False,❌
CVE-2024-0067,,,False,❌
CVE-2024-0068,HIGH,,False,❌
CVE-2024-0069,,,False,❌
CVE-2024-0070,,,False,❌
CVE-2024-0071,,,False,❌
CVE-2024-0072,,,False,❌
CVE-2024-0073,,,False,❌
CVE-2024-0074,,,False,❌
CVE-2024-0075,,,False,❌
CVE-2024-0076,,,False,❌
CVE-2024-0077,,,False,❌
CVE-2024-0078,,,False,❌
CVE-2024-0079,,,False,❌
CVE-2024-0080,,,False,❌
CVE-2024-0081,,,False,❌
CVE-2024-0082,,,False,❌
CVE-2024-0083,,,False,❌
CVE-2024-0084,HIGH,,False,❌
CVE-2024-0085,HIGH,,False,❌
CVE-2024-0086,MEDIUM,,False,❌
CVE-2024-0087,,,False,❌
CVE-2024-0088,,,False,❌
CVE-2024-0089,HIGH,,False,❌
CVE-2024-0090,HIGH,,False,❌
CVE-2024-0091,HIGH,,False,❌
CVE-2024-0092,MEDIUM,,False,❌
CVE-2024-0093,MEDIUM,,False,❌
CVE-2024-0094,,,False,❌
CVE-2024-0095,,,False,❌
CVE-2024-0096,,,False,❌
CVE-2024-0097,,,False,❌
CVE-2024-0098,,,False,❌
CVE-2024-0099,,,False,❌
CVE-2024-0100,,,False,❌
CVE-2024-0101,HIGH,,False,❌
CVE-2024-0102,MEDIUM,,False,❌
CVE-2024-0103,,,False,❌
CVE-2024-0104,HIGH,,False,❌
CVE-2024-0105,,,False,❌
CVE-2024-0106,,,False,❌
CVE-2024-0107,HIGH,,False,❌
CVE-2024-0108,HIGH,,False,❌
CVE-2024-0109,LOW,,False,❌
CVE-2024-0110,HIGH,,False,❌
CVE-2024-0111,MEDIUM,,False,❌
CVE-2024-0112,,,False,❌
CVE-2024-0113,HIGH,,False,❌
CVE-2024-0114,,,False,❌
CVE-2024-0115,MEDIUM,,False,❌
CVE-2024-0116,,,False,❌
CVE-2024-0117,,,False,❌
CVE-2024-0118,,,False,❌
CVE-2024-0119,,,False,❌
CVE-2024-0120,,,False,❌
CVE-2024-0121,,,False,❌
CVE-2024-0122,,,False,❌
CVE-2024-0123,,,False,❌
CVE-2024-0124,,,False,❌
CVE-2024-0125,,,False,❌
CVE-2024-0126,,,False,❌
CVE-2024-0127,,,False,❌
CVE-2024-0128,,,False,❌
CVE-2024-0129,HIGH,,False,❌
CVE-2024-0130,,,False,❌
CVE-2024-0131,,,False,❌
CVE-2024-0132,HIGH,,False,❌
CVE-2024-0133,LOW,,False,❌
CVE-2024-0134,MEDIUM,,False,❌
CVE-2024-0135,,,False,❌
CVE-2024-0136,,,False,❌
CVE-2024-0137,,,False,❌
CVE-2024-0138,,,False,❌
CVE-2024-0139,,,False,❌
CVE-2024-0140,,,False,❌
CVE-2024-0141,,,False,❌
CVE-2024-0142,,,False,❌
CVE-2024-0143,,,False,❌
CVE-2024-0144,,,False,❌
CVE-2024-0145,,,False,❌
CVE-2024-0146,,,False,❌
CVE-2024-0147,,,False,❌
CVE-2024-0148,,,False,❌
CVE-2024-0149,,,False,❌
CVE-2024-0150,,,False,❌
CVE-2024-0151,,,False,❌
CVE-2024-0153,,,False,❌
CVE-2024-0154,LOW,,False,❌
CVE-2024-0155,HIGH,,False,❌
CVE-2024-0156,HIGH,,False,❌
CVE-2024-0157,MEDIUM,,False,❌
CVE-2024-0158,MEDIUM,,False,❌
CVE-2024-0159,MEDIUM,,False,❌
CVE-2024-0160,MEDIUM,,False,❌
CVE-2024-0161,HIGH,,False,❌
CVE-2024-0162,HIGH,,False,❌
CVE-2024-0163,MEDIUM,,False,❌
CVE-2024-0164,HIGH,,False,❌
CVE-2024-0165,HIGH,,False,❌
CVE-2024-0166,HIGH,,False,❌
CVE-2024-0167,HIGH,,False,❌
CVE-2024-0168,HIGH,,False,❌
CVE-2024-0169,MEDIUM,,False,❌
CVE-2024-0170,HIGH,,False,❌
CVE-2024-0171,MEDIUM,,False,❌
CVE-2024-0172,HIGH,,False,❌
CVE-2024-0173,LOW,,False,❌
CVE-2024-0179,,,False,❌
CVE-2024-0181,MEDIUM,,False,❌
CVE-2024-0182,CRITICAL,,False,❌
CVE-2024-0183,MEDIUM,,False,❌
CVE-2024-0184,MEDIUM,,False,❌
CVE-2024-0185,HIGH,,False,❌
CVE-2024-0186,HIGH,,False,❌
CVE-2024-0187,MEDIUM,,False,❌
CVE-2024-0188,HIGH,,False,❌
CVE-2024-0189,MEDIUM,,False,❌
CVE-2024-0190,MEDIUM,,False,❌
CVE-2024-0191,MEDIUM,,False,❌
CVE-2024-0192,MEDIUM,,False,❌
CVE-2024-0193,MEDIUM,,False,❌
CVE-2024-0194,CRITICAL,,False,❌
CVE-2024-0195,CRITICAL,,False,❌
CVE-2024-0196,HIGH,,False,❌
CVE-2024-0197,HIGH,,False,❌
CVE-2024-0198,,,False,❌
CVE-2024-0199,HIGH,,False,❌
CVE-2024-0200,CRITICAL,,False,❌
CVE-2024-0201,MEDIUM,,False,❌
CVE-2024-0202,MEDIUM,,False,❌
CVE-2024-0203,,,False,❌
CVE-2024-0204,CRITICAL,,False,❌
CVE-2024-0206,HIGH,,False,❌
CVE-2024-0207,HIGH,,False,❌
CVE-2024-0208,HIGH,,False,❌
CVE-2024-0209,HIGH,,False,❌
CVE-2024-0210,HIGH,,False,❌
CVE-2024-0211,HIGH,,False,❌
CVE-2024-0212,MEDIUM,,False,❌
CVE-2024-0213,HIGH,,False,❌
CVE-2024-0216,,,False,❌
CVE-2024-0217,LOW,,False,❌
CVE-2024-0218,,,False,❌
CVE-2024-0219,HIGH,,False,❌
CVE-2024-0220,HIGH,,False,❌
CVE-2024-0221,HIGH,,False,❌
CVE-2024-0222,HIGH,,False,❌
CVE-2024-0223,HIGH,,False,❌
CVE-2024-0224,HIGH,,False,❌
CVE-2024-0225,HIGH,,False,❌
CVE-2024-0226,MEDIUM,,False,❌
CVE-2024-0227,,,False,❌
CVE-2024-0228,,,False,❌
CVE-2024-0229,HIGH,,False,❌
CVE-2024-0230,LOW,,False,❌
CVE-2024-0231,LOW,,False,❌
CVE-2024-0232,MEDIUM,,False,❌
CVE-2024-0233,MEDIUM,,False,❌
CVE-2024-0235,MEDIUM,,False,❌
CVE-2024-0236,MEDIUM,,False,❌
CVE-2024-0237,MEDIUM,,False,❌
CVE-2024-0238,MEDIUM,,False,❌
CVE-2024-0239,MEDIUM,,False,❌
CVE-2024-0240,MEDIUM,,False,❌
CVE-2024-0241,HIGH,,False,❌
CVE-2024-0242,CRITICAL,,False,❌
CVE-2024-0243,HIGH,,False,❌
CVE-2024-0244,CRITICAL,,False,❌
CVE-2024-0245,,,False,❌
CVE-2024-0246,MEDIUM,,False,❌
CVE-2024-0247,CRITICAL,,False,❌
CVE-2024-0248,MEDIUM,,False,❌
CVE-2024-0250,MEDIUM,,False,❌
CVE-2024-0251,MEDIUM,,False,❌
CVE-2024-0252,HIGH,,False,❌
CVE-2024-0253,HIGH,,False,❌
CVE-2024-0254,MEDIUM,,False,❌
CVE-2024-0255,MEDIUM,,False,❌
CVE-2024-0256,MEDIUM,,False,❌
CVE-2024-0257,,,False,❌
CVE-2024-0258,HIGH,,False,❌
CVE-2024-0259,HIGH,,False,❌
CVE-2024-0260,HIGH,,False,❌
CVE-2024-0261,HIGH,,False,❌
CVE-2024-0262,MEDIUM,,False,❌
CVE-2024-0263,HIGH,,False,❌
CVE-2024-0264,CRITICAL,,False,❌
CVE-2024-0265,HIGH,,False,❌
CVE-2024-0266,MEDIUM,,False,❌
CVE-2024-0267,CRITICAL,,False,❌
CVE-2024-0268,CRITICAL,,False,❌
CVE-2024-0269,HIGH,,False,❌
CVE-2024-0270,MEDIUM,,False,❌
CVE-2024-0271,MEDIUM,,False,❌
CVE-2024-0272,MEDIUM,,False,❌
CVE-2024-0273,MEDIUM,,False,❌
CVE-2024-0274,MEDIUM,,False,❌
CVE-2024-0275,MEDIUM,,False,❌
CVE-2024-0276,MEDIUM,,False,❌
CVE-2024-0277,MEDIUM,,False,❌
CVE-2024-0278,MEDIUM,,False,❌
CVE-2024-0279,MEDIUM,,False,❌
CVE-2024-0280,MEDIUM,,False,❌
CVE-2024-0281,MEDIUM,,False,❌
CVE-2024-0282,MEDIUM,,False,❌
CVE-2024-0283,MEDIUM,,False,❌
CVE-2024-0284,MEDIUM,,False,❌
CVE-2024-0285,MEDIUM,,False,❌
CVE-2024-0286,MEDIUM,,False,❌
CVE-2024-0287,CRITICAL,,False,❌
CVE-2024-0288,CRITICAL,,False,❌
CVE-2024-0289,CRITICAL,,False,❌
CVE-2024-0290,CRITICAL,,False,❌
CVE-2024-0291,HIGH,,False,❌
CVE-2024-0292,CRITICAL,,False,❌
CVE-2024-0293,CRITICAL,,False,❌
CVE-2024-0294,CRITICAL,,False,❌
CVE-2024-0295,CRITICAL,,False,❌
CVE-2024-0296,CRITICAL,,False,❌
CVE-2024-0297,CRITICAL,,False,❌
CVE-2024-0298,CRITICAL,,False,❌
CVE-2024-0299,CRITICAL,,False,❌
CVE-2024-0300,CRITICAL,,False,❌
CVE-2024-0301,CRITICAL,,False,❌
CVE-2024-0302,CRITICAL,,False,❌
CVE-2024-0303,CRITICAL,,False,❌
CVE-2024-0304,CRITICAL,,False,❌
CVE-2024-0305,HIGH,,False,❌
CVE-2024-0306,HIGH,,False,❌
CVE-2024-0307,HIGH,,False,❌
CVE-2024-0308,HIGH,,False,❌
CVE-2024-0310,MEDIUM,,False,❌
CVE-2024-0311,,,False,❌
CVE-2024-0312,,,False,❌
CVE-2024-0313,,,False,❌
CVE-2024-0314,MEDIUM,,False,❌
CVE-2024-0315,HIGH,,False,❌
CVE-2024-0316,HIGH,,False,❌
CVE-2024-0317,MEDIUM,,False,❌
CVE-2024-0318,MEDIUM,,False,❌
CVE-2024-0319,MEDIUM,,False,❌
CVE-2024-0320,MEDIUM,,False,❌
CVE-2024-0321,CRITICAL,,False,❌
CVE-2024-0322,CRITICAL,,False,❌
CVE-2024-0323,CRITICAL,,False,❌
CVE-2024-0324,HIGH,,False,❌
CVE-2024-0325,HIGH,,False,❌
CVE-2024-0326,,,False,❌
CVE-2024-0333,MEDIUM,,False,❌
CVE-2024-0334,MEDIUM,,False,❌
CVE-2024-0335,,,False,❌
CVE-2024-0336,,,False,❌
CVE-2024-0337,,,False,❌
CVE-2024-0338,CRITICAL,,False,❌
CVE-2024-0339,,,False,❌
CVE-2024-0340,MEDIUM,,False,❌
CVE-2024-0341,HIGH,,False,❌
CVE-2024-0342,CRITICAL,,False,❌
CVE-2024-0343,MEDIUM,,False,❌
CVE-2024-0344,CRITICAL,,False,❌
CVE-2024-0345,MEDIUM,,False,❌
CVE-2024-0346,MEDIUM,,False,❌
CVE-2024-0347,LOW,,False,❌
CVE-2024-0348,MEDIUM,,False,❌
CVE-2024-0349,MEDIUM,,False,❌
CVE-2024-0350,MEDIUM,,False,❌
CVE-2024-0351,LOW,,False,❌
CVE-2024-0352,CRITICAL,,False,❌
CVE-2024-0353,HIGH,,False,❌
CVE-2024-0354,HIGH,,False,❌
CVE-2024-0355,CRITICAL,,False,❌
CVE-2024-0356,HIGH,,False,❌
CVE-2024-0357,CRITICAL,,False,❌
CVE-2024-0358,HIGH,,False,❌
CVE-2024-0359,CRITICAL,,False,❌
CVE-2024-0360,CRITICAL,,False,❌
CVE-2024-0361,CRITICAL,,False,❌
CVE-2024-0362,CRITICAL,,False,❌
CVE-2024-0363,CRITICAL,,False,❌
CVE-2024-0364,CRITICAL,,False,❌
CVE-2024-0365,,,False,❌
CVE-2024-0366,MEDIUM,,False,❌
CVE-2024-0367,MEDIUM,,False,❌
CVE-2024-0368,,,False,❌
CVE-2024-0369,,,False,❌
CVE-2024-0370,MEDIUM,,False,❌
CVE-2024-0371,MEDIUM,,False,❌
CVE-2024-0372,MEDIUM,,False,❌
CVE-2024-0373,MEDIUM,,False,❌
CVE-2024-0374,MEDIUM,,False,❌
CVE-2024-0376,MEDIUM,,False,❌
CVE-2024-0377,,,False,❌
CVE-2024-0378,MEDIUM,,False,❌
CVE-2024-0379,,,False,❌
CVE-2024-0380,MEDIUM,,False,❌
CVE-2024-0381,MEDIUM,,False,❌
CVE-2024-0382,MEDIUM,,False,❌
CVE-2024-0383,MEDIUM,,False,❌
CVE-2024-0384,MEDIUM,,False,❌
CVE-2024-0385,,,False,❌
CVE-2024-0386,MEDIUM,,False,❌
CVE-2024-0387,MEDIUM,,False,❌
CVE-2024-0389,CRITICAL,,False,❌
CVE-2024-0390,CRITICAL,,False,❌
CVE-2024-0392,,,False,❌
CVE-2024-0393,,,False,❌
CVE-2024-0394,,,False,❌
CVE-2024-0395,,,False,❌
CVE-2024-0396,HIGH,,False,❌
CVE-2024-0397,,,False,❌
CVE-2024-0399,,,False,❌
CVE-2024-0400,,,False,❌
CVE-2024-0401,,,False,❌
CVE-2024-0402,CRITICAL,,False,❌
CVE-2024-0403,MEDIUM,,False,❌
CVE-2024-0404,,,False,❌
CVE-2024-0405,MEDIUM,,False,❌
CVE-2024-0406,HIGH,,False,❌
CVE-2024-0407,,,False,❌
CVE-2024-0408,MEDIUM,,False,❌
CVE-2024-0409,HIGH,,False,❌
CVE-2024-0410,HIGH,,False,❌
CVE-2024-0411,HIGH,,False,❌
CVE-2024-0412,CRITICAL,,False,❌
CVE-2024-0413,CRITICAL,,False,❌
CVE-2024-0414,CRITICAL,,False,❌
CVE-2024-0415,CRITICAL,,False,❌
CVE-2024-0416,CRITICAL,,False,❌
CVE-2024-0417,CRITICAL,,False,❌
CVE-2024-0418,HIGH,,False,❌
CVE-2024-0419,HIGH,,False,❌
CVE-2024-0420,MEDIUM,,False,❌
CVE-2024-0421,MEDIUM,,False,❌
CVE-2024-0422,MEDIUM,,False,❌
CVE-2024-0423,MEDIUM,,False,❌
CVE-2024-0424,MEDIUM,,False,❌
CVE-2024-0425,HIGH,,False,❌
CVE-2024-0426,CRITICAL,,False,❌
CVE-2024-0427,,,False,❌
CVE-2024-0428,HIGH,,False,❌
CVE-2024-0429,MEDIUM,,False,❌
CVE-2024-0430,,,False,❌
CVE-2024-0431,MEDIUM,,False,❌
CVE-2024-0432,MEDIUM,,False,❌
CVE-2024-0433,MEDIUM,,False,❌
CVE-2024-0434,,,False,❌
CVE-2024-0435,MEDIUM,,False,❌
CVE-2024-0436,MEDIUM,,False,❌
CVE-2024-0437,,,False,❌
CVE-2024-0438,MEDIUM,,False,❌
CVE-2024-0439,HIGH,,False,❌
CVE-2024-0440,MEDIUM,,False,❌
CVE-2024-0442,,,False,❌
CVE-2024-0443,MEDIUM,,False,❌
CVE-2024-0444,HIGH,,False,❌
CVE-2024-0445,MEDIUM,,False,❌
CVE-2024-0446,,,False,❌
CVE-2024-0447,,,False,❌
CVE-2024-0448,MEDIUM,,False,❌
CVE-2024-0449,MEDIUM,,False,❌
CVE-2024-0450,,,False,❌
CVE-2024-0451,MEDIUM,,False,❌
CVE-2024-0452,HIGH,,False,❌
CVE-2024-0453,HIGH,,False,❌
CVE-2024-0454,MEDIUM,,False,❌
CVE-2024-0455,HIGH,,False,❌
CVE-2024-0456,MEDIUM,,False,❌
CVE-2024-0459,HIGH,,False,❌
CVE-2024-0460,CRITICAL,,False,❌
CVE-2024-0461,CRITICAL,,False,❌
CVE-2024-0462,CRITICAL,,False,❌
CVE-2024-0463,CRITICAL,,False,❌
CVE-2024-0464,CRITICAL,,False,❌
CVE-2024-0465,MEDIUM,,False,❌
CVE-2024-0466,CRITICAL,,False,❌
CVE-2024-0467,MEDIUM,,False,❌
CVE-2024-0468,CRITICAL,,False,❌
CVE-2024-0469,CRITICAL,,False,❌
CVE-2024-0470,CRITICAL,,False,❌
CVE-2024-0471,CRITICAL,,False,❌
CVE-2024-0472,HIGH,,False,❌
CVE-2024-0473,CRITICAL,,False,❌
CVE-2024-0474,CRITICAL,,False,❌
CVE-2024-0475,CRITICAL,,False,❌
CVE-2024-0476,MEDIUM,,False,❌
CVE-2024-0477,CRITICAL,,False,❌
CVE-2024-0478,CRITICAL,,False,❌
CVE-2024-0479,CRITICAL,,False,❌
CVE-2024-0480,CRITICAL,,False,❌
CVE-2024-0481,CRITICAL,,False,❌
CVE-2024-0482,CRITICAL,,False,❌
CVE-2024-0483,CRITICAL,,False,❌
CVE-2024-0484,CRITICAL,,False,❌
CVE-2024-0485,CRITICAL,,False,❌
CVE-2024-0486,CRITICAL,,False,❌
CVE-2024-0487,CRITICAL,,False,❌
CVE-2024-0488,CRITICAL,,False,❌
CVE-2024-0489,CRITICAL,,False,❌
CVE-2024-0490,HIGH,,False,❌
CVE-2024-0491,HIGH,,False,❌
CVE-2024-0492,CRITICAL,,False,❌
CVE-2024-0493,CRITICAL,,False,❌
CVE-2024-0494,CRITICAL,,False,❌
CVE-2024-0495,CRITICAL,,False,❌
CVE-2024-0496,CRITICAL,,False,❌
CVE-2024-0497,CRITICAL,,False,❌
CVE-2024-0498,CRITICAL,,False,❌
CVE-2024-0499,MEDIUM,,False,❌
CVE-2024-0500,MEDIUM,,False,❌
CVE-2024-0501,MEDIUM,,False,❌
CVE-2024-0502,HIGH,,False,❌
CVE-2024-0503,MEDIUM,,False,❌
CVE-2024-0504,MEDIUM,,False,❌
CVE-2024-0505,CRITICAL,,False,❌
CVE-2024-0506,MEDIUM,,False,❌
CVE-2024-0507,HIGH,,False,❌
CVE-2024-0508,MEDIUM,,False,❌
CVE-2024-0509,MEDIUM,,False,❌
CVE-2024-0510,CRITICAL,,False,❌
CVE-2024-0511,MEDIUM,,False,❌
CVE-2024-0512,,,False,❌
CVE-2024-0513,,,False,❌
CVE-2024-0514,,,False,❌
CVE-2024-0515,,,False,❌
CVE-2024-0516,,,False,❌
CVE-2024-0517,HIGH,,False,❌
CVE-2024-0518,HIGH,,False,❌
CVE-2024-0519,HIGH,True,False,❌
CVE-2024-0520,HIGH,,False,❌
CVE-2024-0521,HIGH,,False,❌
CVE-2024-0522,HIGH,,False,❌
CVE-2024-0523,CRITICAL,,False,❌
CVE-2024-0524,CRITICAL,,False,❌
CVE-2024-0525,CRITICAL,,False,❌
CVE-2024-0526,CRITICAL,,False,❌
CVE-2024-0527,CRITICAL,,False,❌
CVE-2024-0528,CRITICAL,,False,❌
CVE-2024-0529,CRITICAL,,False,❌
CVE-2024-0530,CRITICAL,,False,❌
CVE-2024-0531,HIGH,,False,❌
CVE-2024-0532,HIGH,,False,❌
CVE-2024-0533,HIGH,,False,❌
CVE-2024-0534,HIGH,,False,❌
CVE-2024-0535,CRITICAL,,False,❌
